US,Album,Artist,Record Label
40,A.K.A . Wham Bam Sam,"Hank Williams , Jr",Curb
60,All Because of You,Daryle Singletary,Giant
74,Almost Alone,Chet Atkins,Columbia
53,Do n't Fence Me In,Lari White,RCA Nashville
73,Elvis : Great Country Songs,Elvis Presley,RCA
51,Give Me Some Wheels,Suzy Bogguss,Capitol Nashville
56,Greatest Hits,John Anderson,BNA
60,Greatest Hits,Confederate Railroad,Atlantic
,Hang of the Heartache,Desert Dolphins,Quality
39,Hit Country '96,Various Artists,K-Tel
43,The Hits,Hal Ketchum,Curb
26,I Lived to Tell It All,George Jones,MCA Nashville
47,I Will Always Love You and Other Greatest Hits,Dolly Parton,Columbia
53,Live,Jeff Foxworthy,Laughing Hyena
47,The Luv Collection : Real Luv,Various Artists,EMI-Capitol
60,Mandy Barnett,Mandy Barnett,Asylum
38,Mark Wills,Mark Wills,Mercury Nashville
45,My Roots Are Showing…,K. T. Oslin,BNA
38,NASCAR : Hotter Than Asphalt,Various Artists,Columbia
66,NFL Country,Various Artists,Gridiron
