Season,Player,School,Position,Class
1986-87,Katrina McClain,Georgia,,
1987-88,Vickie Orr,Auburn,C,Senior
1988-89,Bridgette Gordon,Tennessee,F,Senior
1989-90,Carolyn Jones,Auburn,G,Junior
1990-91,Carolyn Jones ( 2 ),Auburn,G,Senior
1991-92,Dena Head,Tennessee,F,Senior
1992-93,Lauretta Freeman,Auburn,F,Senior
1993-94,Nikki McCray,Tennessee,F,Junior
1994-95,Nikki McCray ( 2 ),Tennessee,F,Senior
1995-96,Saudia Roundtree *,Georgia,,
1996-97,DeLisha Milton *,Florida,,
1997-98,Chamique Holdsclaw *,Tennessee,F,Junior
1998-99,Chamique Holdsclaw * ( 2 ),Tennessee,F,Senior
1999-00,Kelly Miller,Georgia,,
2000-01,Kelly Miller ( 2 ),Georgia,,
2001-02,Chantelle Anderson,Vanderbilt,,
2001-02,LaToya Thomas,Mississippi State,,
2002-03,LaToya Thomas ( 2 ),Mississippi State,,
2003-04,Shameka Christon,Arkansas,,
2004-05,Seimone Augustus *,LSU,F,Junior
