Year,Performing artist ( s ),Nationality,Album
1960,Original Broadway Cast,-,The Sound of Music
1961,Original Broadway Cast,-,Camelot
1962,Soundtrack,-,West Side Story
1963,Soundtrack,-,West Side Story
1964,Original Broadway Cast,-,"Hello , Dolly !"
1965,Soundtrack,-,Mary Poppins
1966,Herb Alpert & The Tijuana Brass,United States,Whipped Cream & Other Delights
1967,The Monkees,United States,More of The Monkees
1968,The Jimi Hendrix Experience,United States,Are You Experienced ?
1969,Iron Butterfly,United States,In-A-Gadda-Da-Vida
