Stadium,Capacity,Location,County,Home team,Opened
Felső Tisza-parti stadion,"15,000",Szeged,Csongrád,Tisza Volán SC,1951
MOL Aréna Sóstó,"14,201",Székesfehérvár,Fejér,Fehérvár FC,2018
Béke téri Stadion,"14,000",Budapest,Budapest,Ferencvárosi TC II Csepel FC,1939
Szusza Ferenc Stadion,"13,501",Budapest,Budapest,Újpest FC,2001
Építők Stadion,"12,500",Budapest,Budapest,,1936
Stadler Stadion,"12,000",Akasztó,Bács-Kiskun,Stadler FC,1995
Dunaferr Aréna,"12,000",Dunaújváros,Fejér,Dunaújváros PASE,2003
Városi stadion,"12,000",Ózd,Borsod-Abaúj-Zemplén,Ózd FC,1958
ZTE Aréna,"11,200",Zalaegerszeg,Zala,Zalaegerszegi TE,2002
Városi Stadion,"10,300",Nyíregyháza,Szabolcs-Szatmár-Bereg,Nyíregyháza Spartacus FC,1958
Oláh Gábor utcai stadion,"10,200",Debrecen,Hajdú-Bihar,Debreceni VSC,1950
Bányász Stadion,"10,000",Komló,Baranya,Komlói Bányász SK,1958
Városi Stadion,"10,000",Hódmezővásárhely,Csongrád,Hódmezővásárhelyi FC,1958
Buzánszky Jenő Stadion,"10,000",Dorog,Komárom-Esztergom,Dorogi FC,1921
Bozsik Stadion,"9,500",Budapest,Budapest,Budapest Honvéd FC,2020
Szőnyi úti Stadion,"9,000",Budapest,Budapest,Budapesti VSC,
Ligeti Stadion,"9,000",Vác,Pest,Vác FC,1967
Haladás Sportkomplexum,"8,940",Szombathely,Vas,Szombathelyi Haladás,2017
Szegedi Ifjusagi Centrum,"8,000",Szeged,Csongrád,,2019
MVSC Stadion,"8,000",Miskolc,Borsod-Abaúj-Zemplén,Miskolci VSC,1931
