Year,Round,Pick,Overall,Player,Team,Position
2020,4,9,115,Harrison Bryant,Cleveland Browns,TE
2019,3,10,74,Devin Singletary,Buffalo Bills,RB
2019,7,8,222,Kerrith Whyte,Chicago Bears,RB
2017,3,39,103,Trey Hendrickson,New Orleans Saints,LB
2015,3,1,65,D'Joun Smith,Indianapolis Colts,DB
2014,5,30,170,Keith Reaser,San Francisco 49ers,DB
2014,7,6,221,Randell Johnson,Buffalo Bills,LB
2012,6,3,173,Alfred Morris,Washington Redskins,RB
2011,3,5,69,Rob Housler,Arizona Cardinals,TE
2010,6,7,176,Rusty Smith,Tennessee Titans,QB
