Year,Title,Production Co,Cast
1929,Applause,Paramount,Helen Morgan
1931,City Streets,Paramount,Gary Cooper / Sylvia Sidney
1931,Dr. Jekyll and Mr. Hyde,Paramount,Fredric March / Miriam Hopkins
1932,Love Me Tonight,Paramount,Maurice Chevalier / Jeanette MacDonald
1933,The Song of Songs,Paramount,Marlene Dietrich / Brian Aherne
1933,Queen Christina,MGM,Greta Garbo / John Gilbert
1934,We Live Again,Samuel Goldwyn Co,Fredric March / Anna Sten
1935,Becky Sharp,Pioneer Pictures,Miriam Hopkins / Cedric Hardwicke
1936,The Gay Desperado,Pickford-Lasky,Nino Martini / Ida Lupino / Leo Carrillo
1937,"High , Wide , and Handsome",Paramount,Irene Dunne / Randolph Scott / Charles Bickford
1939,Golden Boy,Columbia,Barbara Stanwyck / William Holden
1940,The Mark of Zorro,20th Century Fox,Tyrone Power / Linda Darnell
1941,Blood and Sand,20th Century Fox,Tyrone Power / Linda Darnell / Rita Hayworth
1942,Rings on Her Fingers,20th Century Fox,Gene Tierney / Henry Fonda
1948,Summer Holiday,MGM,Mickey Rooney / Gloria de Haven / Walter Huston / Agnes Moorehead / Frank Morgan / Marilyn Maxwell
1957,Silk Stockings,MGM,Fred Astaire / Cyd Charisse
