Name,Location,Country,Diameter ( km ),Age ( million years )
Vredefort,Free State,South Africa,300,2023
Chicxulub,Yucatán,Mexico,150,66
Sudbury,Ontario,Canada,130,1849
Popigai,Siberia,Russia,100,35
Manicouagan,Quebec,Canada,100,215
Acraman,South Australia,Australia,90,580
Morokweng,Kalahari Desert,South Africa,70,145
Kara,Nenetsia,Russia,65,70
Beaverhead,Idaho and Montana,United States,60,600
Tookoonooka,Queensland,Australia,55,112-133
Charlevoix,Quebec,Canada,54,342
Siljan Ring,Dalarna,Sweden,52,377
Karakul,Pamir Mountains,Tajikistan,52,5 ? 25 ?
Montagnais,Nova Scotia,Canada,45,50.5
Araguainha,Central Brazil,Brazil,40,244.4
Chesapeake Bay,Virginia,United States,40,35
Mjølnir,Barents Sea,Norway,40,142
Puchezh-Katunki,Nizhny Novgorod Oblast,Russia,40,167
Saint Martin,Manitoba,Canada,40,227
Woodleigh,Western Australia,Australia,40,364
