Season,Player,School,State,Position,Class
1974-75,David Thompson,NC State,North Carolina,SG / SF,Senior
1975-76,Scott May,Indiana,Indiana,F,Senior
1976-77,Marques Johnson,UCLA,California,G / F,Senior
1977-78,Phil Ford,North Carolina,North Carolina,PG,Senior
1978-79,Larry Bird,Indiana State,Indiana,SF,Senior
1979-80,Michael Brooks,La Salle,Pennsylvania,F,Senior
1980-81,Danny Ainge,Brigham Young,Utah,SG,Senior
1981-82,Ralph Sampson,Virginia,Virginia,C,Junior
1982-83,Ralph Sampson ( 2 ),Virginia ( 2 ),Virginia,C,Senior
1983-84,Michael Jordan,North Carolina ( 2 ),North Carolina,SG,Junior
1984-85,Patrick Ewing,Georgetown,"Washington , D.C",C,Senior
1985-86,Walter Berry,St. John 's,New York,PF,Senior
1986-87,David Robinson,Navy,Maryland,C,Senior
1987-88,Danny Manning,Kansas,Kansas,PF,Senior
1988-89,Sean Elliott,Arizona,Arizona,SF,Senior
1989-90,Lionel Simmons,La Salle ( 2 ),Pennsylvania,SF,Senior
1990-91,Larry Johnson,UNLV,Nevada,PF,Senior
1991-92,Christian Laettner,Duke,North Carolina,F,Senior
1992-93,Calbert Cheaney,Indiana ( 2 ),Indiana,SF,Senior
1993-94,Glenn Robinson,Purdue,Indiana,SF / PF,Sophomore
