District,Name,Party
1,José López Muñoz,PNP
2,Luis Raúl Torres Cruz,PPD
3,Albita Rivera Ramírez,PNP
4,Liza Fernández Rodríguez ( 2009-2012 ) Víctor Parés ( 2012-2013 ),PNP
5,Jorge Navarro Suárez,PNP
6,Angel Perez Otero,PNP
7,Luis Pérez Ortíz,PNP
8,Antonio Silva Delgado,PNP
9,Angel Rodríguez Miranda,PNP
10,Bernardo Márquez García,PNP
11,María Vega Pagán,PNP
12,Héctor Torres Calderón,PNP
13,Gabriel Rodríguez Aguiló,PNP
14,Paula Rodríguez Homs,PNP
15,Arnaldo Jiménez Valle,PNP
16,Iván Rodríguez ( 2009-2010 ) Eric Alfaro ( 2011-2013 ),PNP
17,José Rivera Guerra,PNP
18,David Bonilla Cortés,PNP
19,Charlie Hernández,PPD
20,Norman Ramírez Rivera,PNP
