#,County,Governor,Deputy Governor,Party
1,Mombasa,Hassan Ali Joho,Hazel Ezabel Nyamoki Ogunde,ODM
2,Kwale,Salim Mvurya,Fatuma Mohamed Achani,ODM
3,Kilifi,Amason Kingi,Kenneth Mwakombo Kamto,ODM
4,Tana River,Tuneya Dado,Jire Siyat Mohamed,WDM-K
5,Lamu,Issa Timamy,Erick Kinyua Mugo,UDF
6,Taita-Taveta,John Mtuta Mruttu,Mary Ndiga Kibuka,ODM
7,Garissa,Nathif Jama Adan,Abdullahi Hussein Ali,WDM-K
8,Wajir,Ahmed Abdullahi Mohamad,Abdulhafid Abdullahi Yarow,ODM
9,Mandera,Ibrahim Roba Ali,Omar Mohamed Maalim,URP
10,Marsabit,Ukur Yattani,Omar Abdi Ali,ODM
11,Isiolo,Godana Doyo,Mohamed Gulleid Abdille,URP
12,Meru,Peter Munya,Raphael Muriungi,APK
13,Tharaka,Samuel Mbae Ragwa,Eliud Mate Muriithi,TNA
14,Embu,Martin Nyaga Wambora,Dorothy Nditi Muchungu,TNA
15,Kitui,Julius Malombe,Malonza Peninah,WDM-K
16,Machakos,Alfred Mutua,Benard Muia Tom Kiala,WDM-K
17,Makueni,Kivutha Kibwana,Adelina Ndeto Mwau,MP
18,Nyandarua,Daniel Waithaka Mwangi,Waithaka Mwangi Kirika,TNA
19,Nyeri,Nderitu Gachagua,Wamathai Samwel Githaiga,GNU
20,Kirinyaga,Joseph Kathuri Ndathi,Julius Muthike Njiri,TNA
