Year,Dunk Contest,3-Point Contest
1985,Michael Porter,
1987,Jerome Harmon,
1988,Matt Steigenga,
1989,James Robinson,Pat Graham
1990,Darrin Hancock,Adrian Autry
1991,Jimmy King,Sharone Wright
1992,Carlos Strong,Chris Collins
1993,Jerry Stackhouse,Chris Kingsbury
1994,Ricky Price,Trajan Langdon
1995,Vince Carter,Louis Bullock
1996,Lester Earl,Nate James
1997,Baron Davis,Shane Battier
1998,Ronald Curry,Teddy Dupay
1999,Donnell Harvey,Jason Kapono
2000,DeShawn Stevenson,Chris Duhon
2001,David Lee,Mo Williams
2002,Carmelo Anthony,J.J. Redick ( boys ) Shanna Zolman ( girls )
2003,LeBron James,Mike Jones ( boys ) Ivory Latta ( girls )
2004,Candace Parker,Darius Washington Jr. ( boys ) Sa'de Wiley-Gatewood ( girls )
2005,Gerald Green,Mario Chalmers ( boys ) Erika Arriaran ( girls )
