Year,Winning Author,Title,Senior Judge
2014,Kent Nelson,The Spirit Bird : Short Stories,David Guterson
2013,Anthony Wallace,The Old Priest,Amy Hempel
2012,Beth Bosworth,The Source of Life and Other Stories,Sven Birkerts
2011,Shannon Cain,The Necessity of Certain Behaviors,Alice Mattison
2010,Tina May Hall,The Physics of Imaginary Objects,Renata Adler
2009,Anne Sanow,Triple Time,Ann Patchett
2008,Anthony Varallo,Out Loud,Scott Turow
2007,Kirk Nesset,Paradise Road,Hilary Masters
2006,Todd James Pierce,Newsworld,Joan Didion
2005,David Harris Ebenbach,Between Camelots,Stewart O'Nan
2004,Darrell Spencer,Bring Your Legs with You,Michael Chabon
2003,Suzanne Greenberg,Speed-Walk and Other Stories,Rick Moody
2002,John Blair,American Standard,Elizabeth Hardwick
2001,Brett Ellen Block,Destination Known,C. Michael Curtis
2000,Adria Bernardi,In the Gathering Woods,Frank Conroy
1999,Lucy Honig,The Truly Needy and Other Stories,Charles Johnson
1998,Barbara Croft,Necessary Fictions,Bharati Mukherjee
1997,Katherine Vaz,Fado and Other Stories,George Garrett
1996,Edith Pearlman,Vaquita and Other Stories,Rosellen Brown
1995,Geoffrey Becker,Dangerous Men,Charles Baxter
