Rank,Airport,Serves,Total passengers,Annual change
1,Rome Leonardo da Vinci-Fiumicino,Rome,"40,971,881",1.9%
2,Milan Malpensa,Milan,"22,169,167",14.2%
3,Orio al Serio,Bergamo,"12,336,137",10.5%
4,Venice Marco Polo,Venice,"10,371,380",7.8%
5,Milan Linate,Milan,"9,548,363",1.4%
6,Catania,Catania,"9,120,913",15.2%
7,Naples,Naples,"8,577,507",26.6%
8,Bologna,Bologna,"8,198,156",6.7%
9,Rome Ciampino,Rome,"5,885,812",9.1%
10,Palermo,Palermo,"5,775,274",8.4%
11,Pisa,Pisa,"5,233,118",4.9%
12,Bari,Bari,"4,686,016",8.4%
13,Turin,Turin,"4,176,556",5.7%
14,Cagliari,Cagliari,"4,157,612",12.5%
15,Verona,Verona,"3,099,142",10.4%
16,Treviso,Treviso,"3,015,057",14.4%
17,Olbia,Olbia,"2,811,378",10.4%
18,Florence,Florence,"2,658,049",5.7%
19,Lamezia Terme,Lamezia Terme,"2,545,203",0.9%
20,Brindisi,Brindisi,"2,321,147",0.4%
