Character,Source,Notes
Alpha wolf,The Grey,
Timber wolf,Benji the Hunted,
Wolf,The Journey of Natty Gann,
George and Angeline,Never Cry Wolf ( 1983 ),A biologist studying arctic fauna comes into close contact with a pack of wolves . Based on Farley Mowat 's book
Kävik,Kävik the Wolf Dog,
Lobo,The Legend of Lobo,
Two Socks,Dances with Wolves,Friend of John J. Dunbar
Wolf,300,Pitted against the adolescent Leonidas as he went through the wilderness in the Agoge
Raksha,The Jungle Book,Mowgli 's adoptive mother
Sebastian,Zookeeper ( film ),An alpha wolf of Franklin Park Zoo
