US,CAN,Single,Artist
1,1,Any Man of Mine,Shania Twain
-,20,Better Off Blue,Rena Gaile
3,3,Better Things to Do,Terri Clark
-,7,Black-Eyed Susan,Prairie Oyster
-,1,Bringing Back Your Love,One Horse Blue
-,15,Broken String of Pearls,Prescott-Brown
-,6,Chevy Coupe,Jim Witter
-,1,Do n't Cry Little Angel,Prairie Oyster
-,15,Family Love,Farmer 's Daughter
-,1,First Comes Love,George Fox
-,10,The Girl Is on a Roll Tonight,Terry Kelly
-,4,Head Over Heels,Blue Rodeo
-,19,Hina Na Ho ( Celebration ),Susan Aglukark
-,1,Hopeless Love,One Horse Blue
-,1,( I Do It ) For the Money,Charlie Major
-,8,I Do n't Wan na Be the One,Patricia Conroy
-,9,I Really Dug Myself a Hole,The Goods
-,1,I 'm Here,Charlie Major
-,1,Learning a Lot About Love,Jason McCoy
-,9,Life Is Just a Dream,Joel Feeney
