Game,Publisher,Release Date,Platform ( s ),MC score,GR score
Big Rigs : Over the Road Racing,GameMill Publishing,"November 20 , 2003",Microsoft Windows,8/100,3.83%
Navy SEALs : Weapons of Mass Destruction,ValuSoft,"July 18 , 2003",Microsoft Windows,18/100,18.83%
Gods and Generals,Activision,"March 1 , 2003",Microsoft Windows,19/100,25.5%
Drake of the 99 Dragons,Majesco Entertainment,"November 3 , 2003",Xbox,22/100,20.48%
Charlie 's Angels,Ubisoft,"July 8 , 2003",GameCube,23/100,23.74%
Pulse Racer,Jaleco,"January 2 , 2003",Xbox,24/100,27.75%
Batman : Dark Tomorrow,Kemco,"March 18 , 2003",Xbox,25/100,24.06%
Terminator 3 : War of the Machines,"Atari , Inc","November , 2003",Microsoft Windows,25/100,27.67%
Aquaman : Battle for Atlantis,TDK Mediactive,"July 23 , 2003",GameCube,27/100,25.1%
Aquaman : Battle for Atlantis,TDK Mediactive,"July 30 , 2003",Xbox,26/100,30.87%
¡Mucha Lucha ! Mascaritas of the Lost Code,Ubisoft,"November 18 , 2003",Game Boy Advance,26/100,26.08%
Stake : Fortune Fighters,"Metro3D , Inc","May 5 , 2003",Xbox,26/100,31%
Ultimate Demolition Derby,Global Star Software,"September 16 , 2003",Microsoft Windows,27/100,32.33%
Celebrity Deathmatch,Gotham Games,"October 14 , 2003",Microsoft Windows,30/100,27.42%
Batman : Dark Tomorrow,Kemco,"March 21 , 2003",GameCube,29/100,27.83%
Mistmare,Strategy First,"June 30 , 2003",Microsoft Windows,33/100,28.14%
Puzzle Bobble VS,Taito,"October 6 , 2003",N-Gage,N/A,28.73%
Interstellar Trader 2,Shrapnel Games,"March 21 , 2003",Microsoft Windows,31/100,29%
RoboCop,Titus Interactive,"July 24 , 2003",Xbox,30/100,40.75%
Airport Tycoon 2,Global Star Software,"February 26 , 2003",Microsoft Windows,32/100,31%
