Year,Coach,Club
1991,Raymond Goethals,Marseille
1992,Johan Cruyff,Barcelona
1993,Raymond Goethals ( 2 ),Marseille
1994,Johan Cruyff ( 2 ),Barcelona
1995,Louis van Gaal,Ajax
1996,Guy Roux,Auxerre
1997,Marcello Lippi,Juventus
1998,Aimé Jacquet,France
1999,Alex Ferguson,Manchester United
2000,Arsène Wenger,Arsenal
2001,Gérard Houllier,Liverpool
2002,Arsène Wenger ( 2 ),Arsenal
2003,Arsène Wenger ( 3 ),Arsenal
2004,Arsène Wenger ( 4 ),Arsenal
2005,José Mourinho,Chelsea
2006,Frank Rijkaard,Barcelona
2007,Alex Ferguson ( 2 ),Manchester United
2008,Alex Ferguson ( 3 ),Manchester United
2009,Pep Guardiola,Barcelona
2010-11,Pep Guardiola ( 2 ),Barcelona
