,Landmark name,Location,City or town
814,Beringer Brothers Winery,2000 Main St. 38°30′38″N 122°28′52″W / 38.5105°N 122.481°W / 38.5105 ; -122.481 ( Beringer Brothers Winery ),St. Helena
687,Calistoga Depot,1458 Lincoln Ave. 38°34′48″N 122°34′42″W / 38.579867°N 122.578283°W / 38.579867 ; -122.578283 ( Calistoga Depot ),Calistoga
563,Charles Krug Winery,2800 Main St. 38°31′02″N 122°29′20″W / 38.517283°N 122.488867°W / 38.517283 ; -122.488867 ( Charles Krug Winery ),St. Helena
547,Chiles Mill,Chiles and Pope Rd . and Lower Chiles Valley Rd,St. Helena
878,First Presbyterian Church,1333-3rd St between Randolph and Franklin Sts . 38°17′48″N 122°17′13″W / 38.296567°N 122.286883°W / 38.296567 ; -122.286883 ( First Presbyterian Church ),Napa
564,George Yount 's Blockhouse,Cook Rd . and Yount Mill Rd . 38°25′16″N 122°22′12″W / 38.421183°N 122.369867°W / 38.421183 ; -122.369867 ( George Yount 's Blockhouse ),Yountville
693,Grave of George Yount,"George C. Yount Pioneer Cemetery , Lincoln and Jackson Sts . 38°24′31″N 122°22′07″W / 38.4085°N 122.3685°W / 38.4085 ; -122.3685 ( Grave of George Yount )",Yountville
683,Hudson Cabin,Hwy 29 & Lincoln Ave,Calistoga
686,Kelsey House,Hwy 29 & Diamond Mtn . Rd,Calistoga
939,Litto 's Hubcap Ranch,6654 Pope Valley Rd,Pope Valley
359,Old Bale Mill,Bale Grist Mill State Historic Park 38°32′29″N 122°30′30″W / 38.541389°N 122.508333°W / 38.541389 ; -122.508333 ( Old Bale Mill ),St. Helena
710,Robert Louis Stevenson State Park,Robert Louis Stevenson State Park 38°39′12″N 122°36′12″W / 38.653416°N 122.603406°W / 38.653416 ; -122.603406 ( Robert Louis Stevenson State Park ),Yountville
685,Sam Brannan Cottage,1311 Washington St,Calistoga
684,Sam Brannan Store,Wapoo Ave and Grant St,Calistoga
561,Schramsberg Vineyards,Schramsberg Rd . 38°33′10″N 122°31′53″W / 38.552683°N 122.5315°W / 38.552683 ; -122.5315 ( Schramsberg Vineyards ),Calistoga
828,Veterans Home of California Yountville,California Dr. & Hwy 29 38°23′39″N 122°21′54″W / 38.394087°N 122.364907°W / 38.394087 ; -122.364907 ( Veterans Home of California Yountville ),Yountville
682,York 's Cabin,Hwy 29 & Lincoln Ave,Calistoga
