Name of aircraft,Year in service,Country of origin
Beriev MBR-2,1935,USSR
Blohm & Voss BV 138,1940,Germany
Bréguet 521 Bizerte,1935,France
CAMS 37,1926,France
CAMS 55,1930,France
Canadian Vickers Vancouver,1930,Canada
Canadian Vickers Vedette,1925,Canada
CANT Z.501,1935,Italy
Chyetverikov MDR-6,1941,USSR
Consolidated PBY/PBN/PBV/OA-10 Catalina/Canso,1935,US
Consolidated P2Y,1929,US
Consolidated PB2Y Coronado,1937,US
Dornier Do 18,1938,Germany
Dornier Do 24,1937,Germany
Dornier Do J,1922,Germany
Hall PH,1931,US
Kawanishi H6K,1938,Japan
Kawanishi H8K,1942,Japan
Latécoère 302,1932,France
Latécoère 521-523,1935,France
