2019 Rank,Club,Revenue ( € million ),Country,2018 Rank,Change
1,Real Madrid,750.9,Spain,2,+1
2,Barcelona,690.4,Spain,3,+1
3,Manchester United,666.0,England,1,−2
4,Bayern Munich,629.2,Germany,4,-
5,Manchester City,568.4,England,5,-
6,Paris Saint - Germain,541.7,France,7,+1
7,Liverpool,513.7,England,9,+2
8,Chelsea,505.7,England,8,-
9,Arsenal,439.2,England,6,-3
10,Tottenham Hotspur,428.3,England,11,+1
11,Juventus,394.9,Italy,10,-1
12,Borussia Dortmund,317.2,Germany,12,-
13,Atlético Madrid,304.4,Spain,13,-
14,Internazionale,280.8,Italy,15,+1
15,Roma,250.0,Italy,24,+9
16,Schalke 04,243.8,Germany,16,-
17,Everton,212.9,England,20,+3
18,Milan,207.7,Italy,22,+4
19,Newcastle United,201.5,England,31+,
20,West Ham United,197.9,England,17,-3
