Ethnic group,Population ( million ),Percentage,Main regions
Javanese,92.24,42.00,"Central Java , East Java , Yogyakarta , Jakarta , North Sumatra , South Sumatra , Bengkulu , Lampung"
Sundanese,30.978,15.41,"West Java , Banten , Jakarta , Lampung"
Malay,6.946,3.45,"Aceh , North Sumatra , Riau , Riau Islands , Jambi , South Sumatra , Bangka-Belitung Islands , West Kalimantan"
Madurese,6.772,3.37,"Madura island , East Java"
Batak,6.076,3.02,"North Sumatra , Aceh , West Sumatra , Riau , Riau Islands , Jakarta"
Minangkabau,5.475,2.72,"West Sumatra , Riau , Riau Islands , Jakarta"
Betawi,5.042,2.51,"Jakarta , Banten , West Java"
Bugis,5.010,2.49,"South Sulawesi , South East Sulawesi , Central Sulawesi , East Kalimantan"
Acehnese,4.419,2.05,Aceh
Bantenese,4.113,2.05,Banten
Banjarese,3.496,1.74,"South Kalimantan , East Kalimantan"
Balinese,3.028,1.51,Bali
Chinese Indonesian,2.832,1.20,"North Sumatra , Riau , Riau Islands , West Kalimantan , Jakarta , Bangka-Belitung Islands"
Sasak,2.611,1.17,West Nusa Tenggara
Makassarese,1.982,0.99,South Sulawesi
Minahasan,1.900,0.96,"North Sulawesi , Gorontalo"
Cirebonese,1.890,0.94,"West Java , Central Java"
