Games,Gold,Silver,Bronze
1964 Innsbruck details,Josef Feistmantl and Manfred Stengl ( AUT ),Reinhold Senn and Helmut Thaler ( AUT ),Walter Aussendorfer and Sigisfredo Mair ( ITA )
1968 Grenoble details,Klaus Bonsack and Thomas Köhler ( GDR ),Manfred Schmid and Ewald Walch ( AUT ),Wolfgang Winkler and Fritz Nachmann ( FRG )
1972 Sapporo details,Horst Hörnlein and Reinhard Bredow ( GDR ) Paul Hildgartner and Walter Plaikner ( ITA ),None awarded,Klaus Bonsack and Wolfram Fiedler ( GDR )
1976 Innsbruck details,Hans Rinn and Norbert Hahn ( GDR ),Hans Brandner and Balthasar Schwarm ( FRG ),Rudolf Schmid and Franz Schachner ( AUT )
1980 Lake Placid details,Hans Rinn and Norbert Hahn ( GDR ),Peter Gschnitzer and Karl Brunner ( ITA ),Georg Fluckinger and Karl Schrott ( AUT )
1984 Sarajevo details,Hans Stangassinger and Franz Wembacher ( FRG ),Yevgeny Belousov and Aleksandr Belyakov ( URS ),Jörg Hoffmann and Jochen Pietzsch ( GDR )
1988 Calgary details,Jörg Hoffmann and Jochen Pietzsch ( GDR ),Stefan Krauße and Jan Behrendt ( GDR ),Thomas Schwab and Wolfgang Staudinger ( FRG )
1992 Albertville details,Stefan Krauße and Jan Behrendt ( GER ),Yves Mankel and Thomas Rudolph ( GER ),Hansjörg Raffl and Norbert Huber ( ITA )
1994 Lillehammer details,Kurt Brugger and Wilfried Huber ( ITA ),Hansjörg Raffl and Norbert Huber ( ITA ),Stefan Krauße and Jan Behrendt ( GER )
1998 Nagano details,Stefan Krauße and Jan Behrendt ( GER ),Chris Thorpe and Gordon Sheer ( USA ),Mark Grimmette and Brian Martin ( USA )
2002 Salt Lake City details,Patric Leitner and Alexander Resch ( GER ),Mark Grimmette and Brian Martin ( USA ),Chris Thorpe and Clay Ives ( USA )
2006 Turin details,Andreas Linger and Wolfgang Linger ( AUT ),André Florschütz and Torsten Wustlich ( GER ),Gerhard Plankensteiner and Oswald Haselrieder ( ITA )
2010 Vancouver details,Andreas Linger and Wolfgang Linger ( AUT ),Andris Šics and Juris Šics ( LAT ),Patric Leitner and Alexander Resch ( GER )
2014 Sochi details,Tobias Wendl and Tobias Arlt ( GER ),Andreas Linger and Wolfgang Linger ( AUT ),Andris Šics and Juris Šics ( LAT )
2018 Pyeongchang details,Tobias Wendl and Tobias Arlt ( GER ),Peter Penz and Georg Fischler ( AUT ),Toni Eggert and Sascha Benecken ( GER )
