Year,Title,Role
2001,Perfume,Henrietta
2002,Unfaithful,Lindsay
2003,It Runs in the Family,Peg Maloney
2004,Winter Solstice,Stacey
2004,The Bourne Supremacy,Kim
2005,Constantine,Ellie
2005,Mr. & Mrs. Smith,Gwen
2005,North Country,Sherry
2005,Kiss Kiss Bang Bang,Harmony Faith Lane
2006,Mission : Impossible III,Julia Meade
2007,Gone Baby Gone,Angie Gennaro
2007,The Heartbreak Kid,Miranda
2008,Made of Honor,Hannah
2008,Eagle Eye,Rachel Holloman
2008,Trucker,Diane Ford
2010,Somewhere,Rebecca
2010,Due Date,Sarah Highman
2011,Source Code,Christina Warren
2011,Mission : Impossible - Ghost Protocol,Julia Meade-Hunt
2011,Machine Gun Preacher,Lynn Childers
