Season,Name,Position,Nationality,Caps
1995,David Williams,Goalkeeper,England,-
1998,Jon Hallworth,Goalkeeper,England,-
1999,Kevin Nugent,Forward,England,-
2000,Andy Legg,Midfielder / Defender,Wales,5
2001,Andy Legg,Midfielder,Wales,6
2002,Graham Kavanagh,Midfielder,Republic of Ireland,8
2003,Robert Earnshaw,Forward,Wales,11
2004,Tony Vidmar,Defender,Australia,76
2005,Chris Barker,Defender,England,-
2006,Jason Koumas,Midfielder,Wales,24
2007,Michael Chopra,Forward,England,-
2008,Roger Johnson,Defender,England,-
2009,Roger Johnson,Defender,England,-
2010,Peter Whittingham,Midfielder,England,-
2011,Kevin McNaughton,Defender,Scotland,4
2012,Peter Whittingham,Midfielder,England,-
2013,Mark Hudson,Defender,England,-
2014,David Marshall,Goalkeeper,Scotland,11
2015,Bruno Ecuele Manga,Defender,Gabon,41
2016,Matthew Connolly,Defender,England,-
