Rank,Name,Height m ( ft ),Floors,Year,City
1,Lotte World Tower,"555 m ( 1,821 ft )",123,2017,Seoul
2,Haeundae LCT The Sharp Landmark Tower,"412 m ( 1,352 ft )",101,2019,Busan
3,Haeundae LCT The Sharp Tower A,"339 m ( 1,112 ft )",85,2019,Busan
4,Haeundae LCT The Sharp Tower A,"333 m ( 1,093 ft )",85,2019,Busan
5,Northeast Asia Trade Tower,"305 m ( 1,001 ft )",68,2011,Incheon
6,Haeundae Doosan We 've the Zenith Tower A,300 m ( 980 ft ),80,2011,Busan
7,Haeundae I'Park Marina Tower 2,292 m ( 958 ft ),72,2011,Busan
8,Busan International Finance Center,289 m ( 948 ft ),63,2014,Busan
9,Three IFC Office Tower,284 m ( 932 ft ),55,2012,Seoul
10,Haeundae Doosan We 've the Zenith Tower B,282 m ( 925 ft ),75,2011,Busan
11,Haeundae I'Park Marina Tower 1,273 m ( 896 ft ),72,2011,Busan
12,Haeundae Doosan We 've the Zenith Tower C,265 m ( 869 ft ),71,2011,Busan
12,WBC The Palace Tower 1,265 m ( 869 ft ),51,2011,Busan
12,WBC The Palace Tower 2,265 m ( 869 ft ),51,2011,Busan
15,Samsung Tower Palace 3 Tower G,264 m ( 866 ft ),69,2003,Seoul
16,Mok-dong Hyperion I Tower A,256 m ( 840 ft ),69,2003,Seoul
17,63 Building,249 m ( 817 ft ),60,1985,Seoul
17,Metapolis 101,249 m ( 817 ft ),66,2010,Hwaseong
19,Metapolis 104,247 m ( 810 ft ),66,2010,Hwaseong
20,The W 101,246 m ( 807 ft ),69,2018,Busan
