Channel,Call Sign,Network,Since,Owner
2,KDKA,CBS,1949 ( Jan. 11 ),CBS
4,WTAE,ABC,1958 ( Sept. 14 ),Hearst
11,WPXI,NBC,1957 ( Sept. 1 ),Cox Media
13,WQED,PBS,1954 ( Apr . 1 ),
16,WEPA-CD,Cozi TV,1989 ( Feb. 28 ),OTA Broadcasting
19,WPCW,The CW,1953 ( Oct. 15 ),CBS
22,WPNT,MyTV,1978 ( Sept. 26 ),Sinclair
29,WIIC,,1989 ( Aug. 29 ),Abacus Television
35,WBYD-CA,JTV,1990 ( Jul . 25 ),Perez Broadcasting
38,WINP,ION,1953 ( Aug. 31 ),Ion Media
50,WPCB,Cornerstone,1979 ( Apr . 15 ),Cornerstone
53,WPGH,Fox,1953 ( July 14 ),Sinclair
,KNNP,News Now,2018 ( Mar . 1 ),
,PCNC,,1994 ( Jan. 1 ),Cox Media
,AT & T SportsNet,FoxSports,1986 ( Apr . 13 ),AT & T Sports Networks
,PanthersTV,Pitt,2010 ( Sep. 21 ),
