Site,Island,Municipality
Maeda Ichirizuka 真栄田の一里塚 Maeda no ichirizuka,Okinawa Island,Onna
Nanzan Castle Site 南山城跡 Nanzan-gusuku ato,Okinawa Island,Itoman
Tonnaha Castle Site 登武那覇城跡 Tonnaha-gusuku ato,Kumejima Island,Kumejima
Tamagusuku Chōkun Tomb 玉城朝薫の墓 ( 邊土名の墓 ) Tamagusuku Chōkun no haka ( Hentona no haka ),Okinawa Island,Urasoe
Perry 's Banner Rock ペリーの旗立岩 Perī no hata-tate iwa,Okinawa Island,Nakagusuku
Naminoue 波上 Naminoue,Okinawa Island,Naha
Sakiyama Utaki 崎山御嶽 Sakiyama-utaki,Okinawa Island,Naha
Ginowan Udun Tombs 宜野湾御殿の墓及び墓域 Ginowan-udun no haka oyobi boiki,Okinawa Island,Naha
Takushi Uekata Tomb 沢岻親方の墓 Takushi Uekata no haka,Okinawa Island,Naha
Amamichū Tomb アマミチューの墓 Amamichū no haka,Hamahiga Island,Uruma
Uni-Ufugusuku Tomb 鬼大城の墓 Uni-Ufugusuku no haka,Okinawa Island,Okinawa
