Season,Pitcher,Decision,Final Score,Opponent,Location ( Stadium )
1882,Tricky Nichols,( L ),7-10,Philadelphia Athletics,Oakdale Park
1883,John Fox,( W ),4-3,New York Metropolitans,Oriole Park
1884,Hardie Henderson,( W ),5-3,New York Metropolitans,Oriole Park
1885,Hardie Henderson ( 2 ),( L ),3-7,Brooklyn Trolley Dodgers,Oriole Park
1886,Matt Kilroy,( W ),4-1,Brooklyn Trolley Dodgers,Oriole Park
1887,Matt Kilroy ( 2 ),( W ),8-3,Philadelphia Athletics,Oriole Park
1888,Matt Kilroy ( 3 ),( W ),5-4,Philadelphia Athletics,Jefferson Street Grounds
1889,Matt Kilroy ( 4 ),( L ),3-13,Columbus Solons,Oriole Park
1890,Les German,( L ),10-11,St. Louis Browns,Oriole Park
1891,Sadie McMahon,( W ),11-7,Boston Beaneaters,Oriole Park
1892,Sadie McMahon ( 2 ),( L ),3-13,Brooklyn Bridegrooms,Union Park
1893,Sadie McMahon ( 3 ),( L ),5-7,Washington Senators,Boundary Field
1894 **,Sadie McMahon ( 4 ),( W ),8-3,New York Giants,Union Park
1895 **,Duke Esper,( L ),6-7,Philadelphia Phillies,Union Park
1896 **,Sadie McMahon ( 5 ),( L ),5-6,Brooklyn Bridegrooms,Union Park
1897,Bill Hoffer,( W ),10-5,Boston Beaneaters,Union Park
1898,Doc McJames,( W ),8-3,Washington Senators,Union Park
1899,Frank Kitson,( W ),5-3,New York Giants,Union Park
