Name,Nation,Years
Charlie Bicknell,England,1934-1936
Bruce Stowell,England,1967-1972
Rod Johnson,England,1970s
Peter Jackson,England,1982-1986
Stuart McCall,Scotland,1998-2002
David Wetherall,England,2002-2008
Graeme Lee,England,2008-2009
Peter Thorne,England,2009-2010
Simon Ramsden,England,2010-2011
Guy Branston,England,2011
Michael Flynn,Wales,2011-2012
Ricky Ravenhill,England,2012
Gary Jones,England,2012-2014
Stephen Darby,England,2014-2016
Romain Vincelot,France,2016-2018
Josh Wright,England,2018
Anthony O'Connor,Republic of Ireland,2018-2019
Paul Caddis,Scotland,2019
Hope Akpan,Nigeria,2019
James Vaughan,England,2019-
