Rank,Rider,Team,Time
1,Egan Bernal ( COL ),Team Ineos,82h 57 ' 00
2,Geraint Thomas ( GBR ),Team Ineos,+ 1 ' 11
3,Steven Kruijswijk ( NED ),Team Jumbo-Visma,+ 1 ' 31
4,Emanuel Buchmann ( GER ),Bora-Hansgrohe,+ 1 ' 56
5,Julian Alaphilippe ( FRA ),Deceuninck-Quick-Step,+ 4 ' 05
6,Mikel Landa ( ESP ),Movistar Team,+ 4 ' 23
7,Rigoberto Urán ( COL ),EF Education First,+ 5 ' 15
8,Nairo Quintana ( COL ),Movistar Team,+ 5 ' 30
9,Alejandro Valverde ( ESP ),Movistar Team,+ 6 ' 12
10,Warren Barguil ( FRA ),Arkéa-Samsic,+ 7 ' 32
