Year,Title,Role
2007,I Now Pronounce You Chuck and Larry,Hooters Girl
2009,Dragonball Evolution,Chi Chi
2009,Sorority Row,Clarie
2009,Burning Palms,Ginny Bai
2010,Grown Ups,Amber Hilliard
2011,Sucker Punch,Amber
2011,The Hangover Part II,Lauren
2012,Premium Rush,Nima
2012,The Man with the Iron Fists,Lady Silk
2012,Eden,Eden
2012,Knife Fight,Kerstin
2013,The Hangover Part III,Lauren Price
2014,Flight 7500,Suzy Lee
2014,Bad Johnson,Jamie
2014,Sin City : A Dame to Kill For,Miho
2014,Rudderless,Lisa Martin
2014,Big Hero 6,Go Go Tomago
2015,A Year and Change,Pam
2015,It 's Already Tomorrow in Hong Kong,Ruby
2016,Flock of Dudes,Katherine
