#,Name,Pos,College,GP,Seasons
10,Jabar Gaffney,WR,Florida,16,2011
34,Jim Gaffney,QB,Tennessee,12,1945-46
48,Steve Gage,S,Tulsa,20,1987-88
95,William Gaines,DT,Florida,,1995-97
89,Scott Galbraith,TE,Southern California,32,1995-96
58,Junior Galette,LB,Stillman,16,2015-17
84,Joey Galloway,WR,Ohio State,10,2010
16,Rich Gannon,QB,Delaware,8,1993
4,Graham Gano,K,Florida State,36,2009-11
35,Quinton Ganther,RB,Utah,8,2009
88,Pierre Garçon,WR,Mount Union,74,2012-16
92,Daryl Gardener,DT,Baylor,15,2002
87,Rod Gardner,WR,Clemson,64,2001-04
89,Alvin Garrett,WR,Angelo State,31,1981-84
52,Terence Garvin,LB,West Virginia,16,2016
44,Mike Garzoni,G,Fresno State,10,1947
97,Jumpy Geathers,DT,Wichita State,41,1990-92
46,Lee Gentry,RB,Tulsa,5,1941
3,Jeff George,QB,Illinois,8,2000-01
34,Jim German,QB,Centre,8,1939
