Team,Location,Arena,Capacity,Average attendance,Manager
AIK,Solna,Råsunda Stadion,"36,608","17,436",Mikael Stahre
IF Brommapojkarna,Stockholm,Grimsta IP,"4,500","2,860",Kim Bergstrand
Djurgårdens IF,Stockholm,Stockholms Stadion,"14,500","9,435",Andrée Jeglertz Steve Galloway
IF Elfsborg,Borås,Borås Arena,"17,800","9,719",Magnus Haglund
GAIS,Gothenburg,Gamla Ullevi,"18,800","5,687",Alexander Axén
Gefle IF,Gävle,Strömvallen,"7,300","4,314",Per Olsson
Halmstads BK,Halmstad,Örjans Vall,"15,500","5,012",Janne Andersson
Hammarby IF,Stockholm,Söderstadion,"16,197","10,381",Thom Åhlund
Helsingborgs IF,Helsingborg,Olympia,"16,673","9,470",Bosse Nilsson
BK Häcken,Gothenburg,Rambergsvallen,"7,000","3,179",Peter Gerhardsson
IFK Göteborg,Gothenburg,Gamla Ullevi,"18,800","13,813",Stefan Rehn Jonas Olsson
Kalmar FF,Kalmar,Fredriksskans,"9,000","5,311",Nanne Bergstrand
Malmö FF,Malmö,Swedbank Stadion,"24,000","14,815",Roland Nilsson
Trelleborgs FF,Trelleborg,Vångavallen,"10,000","2,992",Tom Prahl
Örebro SK,Örebro,Behrn Arena,"14,500","7,886",Sixten Boström
Örgryte IS,Gothenburg,Gamla Ullevi,"18,800","4,939",Åge Hareide
