State,Dog breed,Year of designation
Alaska,Alaskan Malamute,2010
Delaware,Golden Retriever,"2016 ( expired on Aug. 31 , 2017 pursuant to 80 Del . Laws , c. 365 , § 3 )"
Georgia,Adoptable dog,2016
Louisiana,Catahoula Leopard dog,1979
Maryland,Chesapeake Bay Retriever,1964
Massachusetts,Boston Terrier,1979
New Hampshire,Chinook,2009
New York,Working dog,2015
North Carolina,Plott Hound,1989
Pennsylvania,Great Dane,1965
South Carolina,Boykin Spaniel,1985
Tennessee,Bluetick Coonhound,2019
Texas,Blue Lacy,2005
Virginia,American Foxhound,1966
Wisconsin,American Water Spaniel,1985
