Name,Origin,Notes
Antoine D'Coolette,Sonic the Hedgehog,
Bent-Tail the Coyote,Various Walt Disney cartoons,A brown coyote who appeared as a nemesis of Pluto in a few cartoons
Bent-Tail Junior,Various Walt Disney cartoons,Bent-Tail 's unintelligent son
Cage E. Coyote,Baby Looney Tunes,Wile E. Coyote 's father
Calamity Coyote,Tiny Toon Adventures,"Pupil to Wile E. Coyote , who targets Road Runner 's pupil Little Beeper , but only half his inventions work properly"
Coyote Kid,Tiny Toon Adventures,A cowboy robber who closely resembles Wile E. Coyote . He and his gang of outlaw coyotes only appeared in the episode High Toon
Dag the Coyote,Barnyard,"A red coyote who , and his pack tried to abduct farm animals , but where defeated by Otis the cow , and his friends"
Don Coyote,The Adventures of Don Coyote and Sancho Panda,"A knightly coyote with a mustache , armour and a lance , who rides on his steed Dapple with his companion Sancho Panda to spread justice ( but usually mayhem ) wherever he travels"
Droop-a-Long,Ricochet Rabbit & Droop-a-Long,A deputy
Space Coyote,The Simpsons,Homer Simpson 's spirit guide who only appeared in the episode El Viaje Misterioso de Nuestro Jomer ( The Mysterious Voyage of Homer )
Tech E. Coyote,Loonatics Unleashed,"Descendant of Wile E. Coyote , who has Rev Runner as his technical assistant"
Tommy the Coyote,Father of the Pride,
Wile E. Coyote,Looney Tunes,A brown coyote who makes many attempts to catch his target prey Road Runner only to fail miserably . He is America 's most popular cartoon coyote
