Team,Won,Runner-up,Years won,Years runner-up
Benfica,12,6,"1990 , 1991 , 1993 , 1994 , 1995 , 1996 , 2011 , 2013 , 2014 , 2015 , 2017 , 2018","1997 , 2001 , 2007 , 2016 , 2019 , 2020"
Porto,7,4,"2000 , 2002 , 2004 , 2008 , 2010 , 2012 , 2016","1999 , 2005 , 2011 , 2017"
Oliveirense,4,1,"2003 , 2006 , 2019 , 2020",2018
Ovarense,3,5,"1992 , 1997 , 2001","1991 , 1993 , 2006 , 2008 , 2010"
CAB Madeira,1,1,2005,2014
Esgueira,1,0,1998,-
Seixal FC,1,0,1999,-
Lusitânia,1,0,2007,-
Beira-Mar,0,4,-,"1990 , 1992 , 1994 , 1995"
Portugal Telecom,0,3,-,"1998 , 2002 , 2003"
Illiabum,0,1,-,2000
CA Queluz,0,1,-,2004
Barreirense,0,1,-,2012
Académica,0,1,-,2013
Vitória de Guimarães,0,1,-,2015
