Year,Title,Role
1986,The Last Empress 末代皇后,Puyi
1986,Hibiscus Town 芙蓉镇,Qiu Shutian
1986,Tears of the Bridal Sedan 花轿泪,
1987,Red Sorghum 红高梁,My grandpapa
1989,Chun Tao 春桃,Wen Chiang
1990,Black Snow 本命年,Li Huiquan
1991,Li Lianying : The Imperial Eunuch 大太监李莲英,Li Lianying
1993,The Trail 大路,Chinese policeman
1994,In the Heat of the Sun 阳光灿烂的日子,Ma Xiaojun ( adult )
1996,The Emperor 's Shadow 秦颂,Ying Zheng
1997,Keep Cool 有话好好说,Bookseller
1997,The Soong Sisters 宋家皇朝,Charlie Soong
2000,Devils on the Doorstep 鬼子来了,Ma Dasan
2002,The Missing Gun 寻枪,Ma Shan
2003,Green Tea 绿茶,Chen Mingliang
2003,My Father and I 我和爸爸,
2003,Warriors of Heaven and Earth 天地英雄,Lieutenant Li
2004,Jasmine Women 茉莉花开,Mr. Meng
2004,Letter from an Unknown Woman 一个陌生女人的来信,Writer / Mr. Xu
2007,The Sun Also Rises 太阳照常升起,Tang Yunlin
