City,Titles,Winning Clubs
Bucharest,61,"FCSB ( 26 ) , Dinamo ( 18 ) , Venus ( 8 ) , Rapid ( 3 ) , Colentina ( 2 ) , Olympia ( 2 ) , Româno-Americana ( 1 ) , Unirea Tricolor ( 1 )"
Timișoara,10,"Chinezul ( 6 ) , Ripensia ( 4 )"
Ploiești,6,"Petrolul ( 4 ) , Prahova ( United ) ( 2 )"
Arad,6,UTA ( 6 )
Cluj-Napoca,5,CFR ( 5 )
Craiova,4,Universitatea ( 4 )
Pitești,2,Argeș ( 2 )
Oradea,1,CA Oradea ( 1 )
Brașov,1,Colțea ( 1 )
Reșița,1,Reșița ( 1 )
Urziceni,1,Unirea ( 1 )
Galați,1,Oțelul ( 1 )
Giurgiu,1,Astra ( 1 )
Ovidiu,1,Viitorul ( 1 )
