Club,Head Coach,City,Stadium,2009 season League ( Playoff )
Busan I'Park,Hwang Sun-Hong,Busan,Busan Asiad Stadium,12th
Chunnam Dragons,Park Hang-Seo,Gwangyang,Gwang-Yang Stadium,6th ( 4th )
Daegu FC,Lee Young-jin,Daegu,Daegu Stadium Daegu Civil Stadium,15th
Daejeon Citizen,Wang Sun-Jae,Daejeon,Daejeon World Cup Stadium,9th
FC Seoul,Nelo Vingada,Seoul,Seoul World Cup Stadium,3rd ( 5th )
Gangwon FC,Choi Soon-Ho,Gangneung Chuncheon,Gangneung Stadium Chuncheon Stadium,13th
Gwangju Sangmu,Lee Kang-Jo,Gwangju,Gwangju World Cup Stadium,11th
Gyeongnam FC,Kim Gwi-Hwa ( caretaker ),Changwon,Changwon Football Center,7th
Incheon United,Huh Jung-Moo,Incheon,Incheon Munhak Stadium,5th ( 5th )
Jeju United,Park Kyung-Hoon,Seogwipo,Jeju World Cup Stadium,14th
Jeonbuk Hyundai Motors,Choi Kang-Hee,Jeonju,Jeonju World Cup Stadium,1st ( 1st )
Pohang Steelers,Park Chang-Hyun,Pohang,Pohang Steel Yard,2nd ( 3rd )
Seongnam Ilhwa Chunma,Shin Tae-Yong,Seongnam,Seongnam 2 Stadium,4th ( 2nd )
Suwon Samsung Bluewings,Yoon Sung-Hyo,Suwon,Suwon World Cup Stadium,10th
Ulsan Hyundai,Kim Ho-Gon,Ulsan,Ulsan Munsu Football Stadium,8th
