Year,Winner,Represented,Placement at Miss World
2004,Yessica Ramírez,Mexico,Top 15
2007,Zhang Zilin,China,Miss World 2007
2008,Ksenia Sukhinova,Russia,Miss World 2008
2009,Perla Beltrán,Mexico,1st Runner-up
2010,Mariann Birkedal,Norway,Top 7
2011,Zhanna Zhumaliyeva,Kazakhstan,Top 15
2012,Atong Demach,South Sudan,Top 7
2013,Megan Young,Philippines,Miss World 2013
2014,Isidora Borovčanin,Bosnia and Herzegovina,Unplaced
2015,Mireia Lalaguna,Spain,Miss World 2015
2016,Jing Kong,China,Top 11
2017,Ugochi Ihezue,Nigeria,Top 15
2018,Maëva Coucke,France,Top 12
2019,Nyekachi Douglas,Nigeria,Top 5
