Name,Team,No,Date
Larry Aurie,Detroit Red Wings,6,1939
Michel Goulet,Quebec Nordiques,16,"March 16 , 1995"
Gordie Howe,Hartford Whalers,9,"February 18 , 1981"
Bobby Hull,Winnipeg Jets ( 1972-96 ),9,"February 19 , 1989"
Rick Ley,Hartford Whalers,2,"December 26 , 1982"
John McKenzie,Hartford Whalers,19,1979
Peter Stastny,Quebec Nordiques,26,"February 26 , 1996"
Thomas Steen,Winnipeg Jets ( 1972-96 ),25,"May 6 , 1995"
Marc Tardif,Quebec Nordiques,8,"November 1 , 1983"
J. C. Tremblay,Quebec Nordiques,3,"October 28 , 1979"
