Name,State of Residency,Appointment,Entry on Duty,Termination of Appointment
Robert D. Murphy,Wisconsin,"August 12 , 1959","August 14 , 1959","December 3 , 1959"
Livingston Merchant,District of Columbia,"December 1 , 1959","December 4 , 1959","January 31 , 1961"
George McGhee,Texas,"November 29 , 1961","December 4 , 1961","March 27 , 1963"
Averell Harriman,New York,"April 4 , 1963","April 4 , 1963","March 17 , 1965"
Eugene Rostow,Connecticut,"October 13 , 1966","October 14 , 1966","January 20 , 1969"
Alexis Johnson,California,"February 7 , 1969","February 7 , 1969","February 1 , 1973"
William J. Porter,Massachusetts,"February 2 , 1973","February 2 , 1973","February 18 , 1974"
Joseph Sisco,Maryland,"February 11 , 1974","February 19 , 1974","June 30 , 1976"
Philip Habib,California,"June 16 , 1976","July 1 , 1976","April 1 , 1978"
David Newsom,California,"April 13 , 1978","April 19 , 1978","February 27 , 1981"
Walter Stoessel,California,"February 27 , 1981","February 28 , 1981","January 26 , 1982"
Lawrence Eagleburger,Florida,"February 11 , 1982","February 12 , 1982","May 1 , 1984"
Michael Armacost,Maryland,"May 17 , 1984","May 18 , 1984","March 2 , 1989"
Robert Kimmitt,Virginia,"March 2 , 1989","March 2 , 1989","August 23 , 1991"
Arnold Kanter,Virginia,"October 4 , 1991","October 4 , 1991","January 20 , 1993"
Peter Tarnoff,New York,"March 11 , 1993","March 11 , 1993","April 18 , 1997"
Tom Pickering,New Jersey,"May 27 , 1997","May 27 , 1997","December 31 , 2000"
Marc Grossman,Virginia,"March 23 , 2001","March 26 , 2001",2005
R. Nicholas Burns,Massachusetts,"March 18 , 2005","March 18 , 2005","February 29 , 2008"
William Joseph Burns,Maryland,"February 29 , 2008","May 13 , 2008","July 28 , 2011"
