Country :,Year :,National Federation :,External link :,"National team , men 's :"
Afghanistan,2012,Bandy Federation of Afghanistan,,Afghanistan
Armenia,2008,Armenian National Federation of Bandy,,
Belarus,1999,Belarusian Bandy Federation,,Belarus
Canada,1986,Canada Bandy,[ 3 ],Canada
China,2010,China Bandy Federation,[ 4 ],China
Colombia,2017,Colombia Federation of Skating Sports,[ 5 ],
Czech Republic,2014,Czech Association of Bandy,[ 6 ],Czech Republic
Estonia,2002,Estonian Bandy Association,[ 7 ],Estonia
Finland,1955,Finland 's Bandy Association,[ 8 ],Finland
Germany,2013,German Bandy Association,[ 9 ],Germany
Great Britain,2010,Great Britain Bandy Federation,[ 10 ],England
Hungary,1988,Hungarian Bandy Federation,[ 11 ],Hungary
India,2002,Bandy Federation of India,,India
Japan,2011,Japan Bandy Federation,[ 12 ],Japan
Kazakhstan,1994,Kazakhstan Bandy Federation,[ 13 ],Kazakhstan
Latvia,2006,Latvia 's Bandy Federation,[ 14 ],Latvia
Lithuania,2008,Lithuanian Bandy Association,,
Mongolia,2002,Bandy Federation of Mongolia,,Mongolia
Netherlands,1973,Bandy Bond Nederland,[ 15 ],Netherlands
Norway,1955,Norway 's Bandy Association,[ 16 ],Norway
