Skip,Third,Second,Lead,Locale,Qualification Method
Pete Fenson,Shawn Rojeski,Joe Polo,Ryan Brunt,"Bemidji , Minnesota",Special Exemption
Tyler George,Christopher Plys,Rich Ruohonen,Colin Hufman,"Duluth , Minnesota",Order of Merit
Craig Brown,Kroy Nernberger,Matt Hamilton,Derrick Casper,"Madison , Wisconsin",Order of Merit
Heath McCormick,Bill Stopera,Martin Sather,Dean Gemmell,"New York , New York",Laurel Qualifier
Brady Clark,Darren Lehto,Leon Romaniuk,Steve Lundeen,"Seattle , Washington",Seattle Qualifier
John Shuster,Zach Jacobson,Jared Zezel,John Landsteiner,"Duluth , Minnesota",Grand Forks Qualifier
Owen Sampson,Ned Sampson,Tucker Smith,Kyle Young,"Edmore , North Dakota",Grand Forks Qualifier
Blake Morton,Marcus Fonger,Tommy Juszczyk,Calvin Weber,"McFarland , Wisconsin",Green Bay Qualifier
Eric Fenson,Trevor Andrews,Quentin Way,Mark Lazar,"Bemidji , Minnesota",Challenge Round
Mike Farbelow,Kevin Deeren,Kraig Deeren,Tim Solin,"Minneapolis , Minnesota",Challenge Round
Todd Birr,Greg Romaniuk,Doug Pottinger,Thomas O'Connor,"Mankato , Minnesota",Challenge Round
