Year,Horse,Trainer,Owner,Age,Gender
1935,Discovery,Joseph H. Stotler,Alfred G. Vanderbilt II,4,C
1934,Cavalcade,Robert A. Smith,Brookmeade Stable,3,C
1933,Equipoise,Thomas J. Healey,Cornelius Vanderbilt Whitney,5,C
1932,Equipoise,Thomas J. Healey,Cornelius Vanderbilt Whitney,4,C
1931,Twenty Grand,"James G. Rowe , Jr",Greentree Stable,3,C
1930,Gallant Fox,Jim Fitzsimmons,Belair Stud,3,C
1929,Blue Larkspur,Herbert J. Thompson,Edward R. Bradley,3,C
1928,Reigh Count,Bert S. Michell,Fannie Hertz,3,C
1927,Chance Play,John I. Smith,Log Cabin Stable,4,C
1926,Crusader,George Conway,Glen Riddle Farm,3,C
1925,Sarazen,Max Hirsch,Virginia Fair Vanderbilt,4,G
1924,Sarazen,Max Hirsch,Virginia Fair Vanderbilt,3,G
1923,Zev,David J. Leary,Rancocas Stable,3,C
1922,Exterminator,Henry McDaniel,Willis Sharpe Kilmer,7,G
1921,Grey Lag,Sam Hildreth,Rancocas Stable,3,C
1920,Man o ' War,Louis Feustel,Samuel D. Riddle,3,C
1919,Sir Barton,H. Guy Bedwell,J. K. L. Ross,3,C
1918,Johren,Albert Simons,Harry P. Whitney,3,C
1917,Old Rosebud,Frank D. Weir,Weir & Hamilton Applegate,6,G
1916,Friar Rock,Sam Hildreth,August Belmont Jr,3,C
