Name,Relation to NYU,Notability
Jack Wolf,"professor 1963-1965 , NYU Courant Institute , 1965-1973 , NYU Tandon School of Engineering",Guggenheim Fellow ( 1979 )
K. R. Sreenivasan,professor at NYU Courant Institute and NYU Tandon School of Engineering,Guggenheim Fellow
Leopold B. Felsen,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Ivan Frisch,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Paul Peter Ewald,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Richard Aaker Trythall,professor at NYU Florence,Guggenheim Fellow ( 1967 )
David J. Pine,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Elliott Waters Montroll,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Joseph Wood Krutch,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Eugene Genovese,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Herbert Freeman,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Nicholas J. Hoff,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Paul M. Doty,professor at NYU Tandon School of Engineering,Guggenheim Fellow
Jeff Cheeger,"professor , NYU Courant Institute",Guggenheim Fellow
Lai-Sang Young,"professor , NYU Courant Institute",Guggenheim Fellow
Percy Deift,"professor , NYU Courant Institute",Guggenheim Fellow
Michael Heidelberger,"professor 1964-1991 , NYU School of Medicine",In 1934 and 1936 he received the Guggenheim Fellowship
Thomas A. Abercrombie,"professor , NYU Graduate School of Arts and Science",Guggenheim Fellow
Paul Horwich,"professor , NYU Graduate School of Arts and Science",Guggenheim Fellow
Frances Kamm,"professor , NYU Graduate School of Arts and Science",Guggenheim Fellow
