Day,Date,Cities,Notable torchbearers
1,Oct 30,"British Columbia : Victoria , Esquimalt , CFB Esquimalt , Songhees First Nation , Esquimalt First Nation , View Royal , Sidney , North Saanich , Central Saanich , Saanich , Oak Bay , Victoria",Catriona Le May Doan - long track speed skater Simon Whitfield - triathlete Silken Laumann - rower Alexandre Despatie -diver General Walter Natynczyk -Canadian Chief of the Defence Staff Allison Forsyth -skier Derek Porter -rower
2,Oct 31,"British Columbia : Victoria , Sooke , T'Sou-ke , Metchosin , Colwood , Fort Rodd Hill , Fisgard Lighthouse , Langford , Mill Bay , Cowichan Bay , Kw'amutsun First Nation , Duncan , North Cowichan , Lake Cowichan , Ganges , Crofton , Chemainus , Ladysmith , Cedar , Snuneymuxw First Nation , Nanaimo",
3,Nov 1,"British Columbia : Nanaimo , Lantzville , Nanoose Bay , Parksville , Coombs , Hilliers , Port Alberni , Hupacasath First Nation , Tseshaht First Nation , Ucluelet , Long Beach in Pacific Rim National Park Reserve , Tla-o-qui-aht First Nations , Tofino",Chun Lee-Kyung - short track speed skater
4,Nov 2,"British Columbia : Qualicum Beach , Qualicum First Nation , Bowser , Fanny Bay , Union Bay , Royston , Cumberland , Courtenay , K'ómoks First Nation , Comox , CFB Comox , Black Creek , Campbell River First Nation , Campbell River",
5,Nov 3,"British Columbia : Sandspit , Skidegate , Queen Charlotte Yukon : Whitehorse British Columbia : Taku River Tlingit First Nation , Atlin Yukon : Kwanlin Dün First Nation , Whitehorse",
6,Nov 4,"Yukon : Dawson City , Old Crow Northwest Territories : Inuvik",Martha Benjamin-cross country skier Alisa Camplin -aerial skier
7,Nov 5,"Nunavut : Kugluktuk Northwest Territories : Dettah , N'Dilo , Yellowknife",
8,Nov 6,"Alberta : Grande Prairie , Fort McMurray , CFB Cold Lake , Cold Lake",Kelly Sutherland-chuckwagon racer
9,Nov 7,"Saskatchewan : Lac la Ronge , La Ronge Manitoba : Thompson",
10,Nov 8,Manitoba : Churchill Nunavut : CFS Alert,
11,Nov 9,"Nunavut : Grise Fiord , Qausuittuq , Iqaluit",Mary Carillo -sportscaster
12,Nov 10,"Quebec : Kuujjuaq , Gaspé , Uashat-Maliotenam , Sept-Îles",
13,Nov 11,"Newfoundland and Labrador : Labrador City , Wabush , CFB Goose Bay , Sheshatshiu , North West River , Happy Valley - Goose Bay",
14,Nov 12,"Newfoundland and Labrador : Hopedale , L'Anse aux Meadows , St. Anthony",Bob Cole -sportscaster
15,Nov 13,"Newfoundland and Labrador : Cape Spear , Petty Harbour , Goulds , Conception Bay South , Paradise , Mount Pearl , St. John 's",Seamus O'Regan - Co-host of Canada AM Mike Adam -curler
16,Nov 14,"Newfoundland and Labrador : Carbonear , Harbour Grace , Spaniard 's Bay , Bay Roberts , Clarke 's Beach , Cupids , Brigus , Clarenville , Glovertown , Gambo , Gander , Lewisporte , Bishop 's Falls , Grand Falls-Windsor",
17,Nov 15,"Newfoundland and Labrador : Grand Falls-Windsor , Badger , Springdale , Deer Lake , Pasadena , Corner Brook , Port au Port , Kippens , Stephenville , Channel - Port aux Basques",
18,Nov 16,"Nova Scotia : North Sydney , Sydney Mines , Membertou , Glace Bay , Dominion , Scotchtown , New Waterford , Sydney , Baddeck , Wagmatcook , Whycocomagh , Waycobah , Mabou , Port Hood , Judique , Port Hawkesbury",Cindy Day-CTV Maritimes meteorologist
19,Nov 17,"Nova Scotia : Port Hawkesbury , Port Hastings , Tracadie , Paq'tnek , Antigonish , New Glasgow , Trenton , Stellarton , Bible Hill , Truro",Will Richardson Ikue Teshigawara-short track speed skater
20,Nov 18,"Nova Scotia : Truro , Millbrook , Stewiacke , Shubenacadie , Elmsdale , Enfield , Waverley , North Preston , Cherry Brook , Cole Harbour , Dartmouth , Beechville , Halifax",Sidney Crosby - hockey player Sarah Conrad -snowboarder Stephen Giles -canoer/kayaker Sandie Rinaldo -television journalist Andrew Russell -canoer
