Title,Release date,Time period,Notes on setting
Laughing Under the Clouds,2018,1868-1912,"Based on a manga series , set from the Meiji period to the Taishō period , including the life of the Emperor Meiji during the Meiji Restoration"
Lady Snowblood,1973,1874-1894,Based on the manga series of the same name
Waga Koi wa Moenu,1949,1880s,
Emperor Meiji and the Great Russo-Japanese War,1958,1904-1905,Dramatization of the Russo-Japanese War
Fullmetal Alchemist,2017,1927,"Based on a manga series , set during the Benito Mussolini 's regime"
Gambler 's Life : Unstoppable Bloodbath,1969,1930s,Set in the early Shōwa period
Flower of Chivalry Torn Asunder : Gambling Heir,1969,1930s,Set in the early Shōwa period
Onna jigoku uta : Shakuhachi benten,1970,,
KanColle : The Movie,2016,1939-1991,Based on Kantai Collection and true events of World War II and the Cold War era
Tora ! Tora ! Tora !,1970,1941,Detailing the events leading up to and including the Attack on Pearl Harbor in 1941
Midway,1976,1942,About the Battle of Midway between Japan and the United States in 1942
The Bridge on the River Kwai,1957,1942-1945,About allied prisoners of war forced to work on the Burma Railway during World War II
Letters from Iwo Jima,2006,1945,Japanese-language film directed by Clint Eastwood about the Battle of Iwo Jima in 1945
Hiroshima,1995,1945,Docu-drama about the events leading up to the use of the first atomic weapons in 1945
Fueled : The Man They Called Pirate,2016,1945-1960,"Based on a novel , from the Occupation of Japan to the 1960 U-2 incident during the Cold War era and the Japanese economic miracle"
Kids on the Slope,2018,1966-1978,"Based on a manga series , set during the foundation of the Asian Development Bank to the opening of Narita International Airport , part of the Cold War era"
Destiny : The Tale of Kamakura,2017,1976-1980,"Based on the manga , set from the Lockheed bribery scandals to the 1980 Summer Olympics boycott , part of the Cold War era"
Climber 's High and Shizumanu Taiyō,2008-2009,1985,"Historical drama about Japan Airlines Flight 123 incident , part of The Troubles ( Cold War ) era in the United Kingdom"
"Solomon 's Perjury and Last Winter , We Parted",2015-2018,1990-2008,Based on a novel by Miyuki Miyabe and Nakamura Bunkun
A Silent Voice and Your Lie in April,2016,1990-2010,"Based on the manga , set in the 2000s"
