Year,Winner,Party
1952,M. Ananthasayanam Ayyangar,Indian National Congress
1962,C. Dass,Indian National Congress
1967,C. Dass,Indian National Congress
1971,Thamburu Balakrishniah,Indian National Congress
1977,Thamburu Balakrishniah,Indian National Congress
1980,Thamburu Balakrishniah,Indian National Congress
1984,Chinta Mohan,Telugu Desam Party
1989,Chinta Mohan,Indian National Congress
1991,Chinta Mohan,Indian National Congress
1996,Nelavala Subrahmanyam,Indian National Congress
1998,Chinta Mohan,Indian National Congress
1999,Nandipaku Venkataswamy,Bharatiya Janata Party
2004,Chinta Mohan,Indian National Congress
2009,Chinta Mohan,Indian National Congress
2014,Varaprasad Rao Velagapalli,YSR Congress Party
2019,Balli Durga Prasad Rao,YSR Congress Party
