Year,Film,Role
1982,Love Child,Terry Jean Moore
1983,Love Letters,Wendy
1984,Places in the Heart,Viola Kelsey
1984,Streets of Fire,McCoy
1985,Alamo Bay,Glory Scheer
1985,Twice in a Lifetime,Sunny Mackenzie-Sobel
1986,Zeisters,Woman at Funeral
1987,Nowhere to Hide,Barbara Cutter
1988,The Prince of Pennsylvania,Carla Headlee
1989,Field of Dreams,Annie Kinsella
1989,Uncle Buck,Chanice Kobolowski
1993,The Dark Half,Liz Beaumont
1996,Female Perversions,Maddie Stephens
1996,Riders of the Purple Sage,Jane Withersteen
1997,Loved,Brett Armerson
1998,With Friends Like These,Hannah DiMartino
2000,Pollock,Peggy Guggenheim
2002,A Time for Dancing,Jackie Russell
2004,The Discontents,Beth Walker
2004,Admissions,Martha Brighton
