City,Newspaper,Publisher/parent company,Website
Nairobi,The Daily Nation,Nation Media Group,[ 1 ]
Nairobi,KSN,Kenya Satellite News Network,[ 2 ]
Nairobi,The Standard,Standard Group Limited,[ 3 ]
Nairobi,The EastAfrican,Nation Media Group,[ 4 ]
Nairobi,The Kenya Times,,
Nairobi,The Sub-Saharan Informer ( pan-national ),,
Nairobi,Taifa Leo,Nation Media Group,[ 5 ] ( in Swahili )
Nairobi,Business Daily,Nation Media Group,[ 6 ]
Nairobi,The Star,Radio Africa Group,[ 7 ]
Nairobi,The People,Media Max Limited,[ 8 ]
Mombasa,Coast Week,Coast Week Limited,[ 9 ]
Nairobi,KDRTV Kenya News,KDRTV,[ 10 ]
