Rank,Release Date,Film Title,Studio,Gross ( RM )
1,2 Apr,Furious 7,United International Pictures,"60,659,547"
2,23 Apr,Avengers : Age of Ultron,Walt Disney Pictures,"51,190,838"
3,11 Jun,Jurassic World,United International Pictures,"48,511,938"
4,16 Jul,Ant-Man,Walt Disney Pictures,"29,639,008"
5,17 Dec,Star Wars : The Force Awakens,Walt Disney Pictures,"27,529,999"
6,24 Dec,Ip Man 3,Fivestar Pictures,"27,206,291"
7,28 May,San Andreas,Warner Bros,"25,508,810"
8,30 Jul,Mission : Impossible - Rogue Nation,United International Pictures,"25,124,472"
9,10 Sep,Maze Runner : The Scorch Trials,20th Century Fox,"23,505,517"
10,5 Nov,Spectre,Sony Pictures Entertainment,"22,194,776"
