Church,Dates,"City , State"
Mount Zion Old School Baptist Church-VDHR 53-339,built NRHP-listed,"Aldie , Virginia"
Alfred Street Baptist Church,1818 built 2004 NRHP-listed,"Alexandria , Virginia"
Beulah Baptist Church,built NRHP-listed,"Alexandria , Virginia"
Ebenezer Baptist Churches,built NRHP-listed,"Bloomfield , Virginia"
"Mount Zion Baptist Church ( Charlottesville , Virginia )",built NRHP-listed,"Charlottesville , Virginia"
Delevan Baptist Church,built NRHP-listed,"Charlottesville , Virginia"
"First Baptist Church of Covington , Virginia",built NRHP-listed,"Covington , Virginia"
Big Spring Baptist Church,built NRHP-listed,"Elliston , Virginia"
Flint Hill Baptist Church,built NRHP-listed,"Flint Hill , Virginia"
Zion Poplars Baptist Church,built NRHP-listed,"Gloucester , Virginia"
Coan Baptist Church,built NRHP-listed,"Heathsville , Virginia"
"First Baptist Church ( Lexington , Virginia )",1896 built 2006 NRHP-listed,"Lexington , Virginia"
"First Baptist Church ( Lynchburg , Virginia )",built NRHP-listed,"Lynchburg , Virginia"
Court Street Baptist Church,built NRHP-listed,"Lynchburg , Virginia"
Massaponax Baptist Church,built NRHP-listed,"Massaponax , Virginia"
"Bethel Baptist Church ( Midlothian , Virginia )",built NRHP-listed,"Midlothian , Virginia"
Montgomery Primitive Baptist Church,built NRHP-listed,"Merrimac , Virginia"
Olive Branch Missionary Baptist Church,built NRHP-listed,"Moneta , Virginia"
First Baptist Church-Newport News,built NRHP-listed,"Newport News , Virginia"
"First Baptist Church ( Norfolk , Virginia )",built NRHP-listed,"Norfolk , Virginia"
