Game,Publisher,Release Date,Platform,MC score,GR score
Grand Theft Auto V,Rockstar Games,"September 17 , 2013",PlayStation 3,97/100,97.01%
Grand Theft Auto V,Rockstar Games,"September 17 , 2013",Xbox 360,97/100,96.1%
BioShock Infinite,2K Games,"March 26 , 2013",PlayStation 3,94/100,95.94%
The Last of Us,Sony Computer Entertainment,"June 14 , 2013",PlayStation 3,95/100,95.09%
BioShock Infinite,2K Games,"March 26 , 2013",Microsoft Windows,94/100,92.62%
Flower,Sony Computer Entertainment,"November 15 , 2013",PlayStation 4,91/100,93.57%
Fez,Trapdoor,"May 1 , 2013",Microsoft Windows,91/100,93.5%
Metal Gear Solid : The Legacy Collection,Konami,"July 9 , 2013",PlayStation 3,93/100,93.33%
Super Mario 3D World,Nintendo,"November 21 , 2013",Wii U,93/100,92.56%
Brothers : A Tale of Two Sons,505 Games,"September 3 , 2013",Microsoft Windows,90/100,93.12%
Rayman Legends,Ubisoft,"August 29 , 2013",Wii U,92/100,93%
BioShock Infinite,2K Games,"March 26 , 2013",Xbox 360,93/100,91.89%
Deus Ex : Human Revolution - Director 's Cut,Square Enix,"October 22 , 2013",Microsoft Windows,91/100,92.5%
Rayman Legends,Ubisoft,"August 29 , 2013",PlayStation 3,91/100,91.81%
The Legend of Zelda : The Wind Waker HD,Nintendo,"September 20 , 2013",Wii U,90/100,91.08%
The Legend of Zelda : A Link Between Worlds,Nintendo,"November 22 , 2013",Nintendo 3DS,91/100,90.55%
Spelunky,Mossmouth,"August 8 , 2013",Microsoft Windows,90/100,91%
Mass Effect 3 : Citadel,Electronic Arts,"March 5 , 2013",PlayStation 3,90/100,90.67%
The Stanley Parable,Galactic Cafe,"October 13 , 2013",Microsoft Windows,88/100,90.25%
Dota 2,Valve,"July 9 , 2013",Microsoft Windows,90/100,89.27%
