Season,Rounds,Most points,Most tries,Player of the Year
1999-00,10,,Vilimoni Delasau ( 83 ),No Award
2000-01,9,,Karl Te Nana ( 42 ),No Award
2001-02,11,,Brent Russell ( 46 ),No Award
2002-03,7,,Nasoni Roko ( 39 ),No Award
2003-04,8,,Fabian Juries & Rob Thirlby ( 39 ),Simon Amor
2004-05,7,,David Lemi ( 46 ),Orene Ai ' i
2005-06,8,Ben Gollings ( 343 ),Timoteo Iosua ( 40 ),Uale Mai
2006-07,8,William Ryder ( 416 ),Mikaele Pesamino ( 43 ),Afeleke Pelenise
2007-08,8,Tomasi Cama Jr. ( 319 ),Fabian Juries ( 41 ),DJ Forbes
2008-09,8,Ben Gollings ( 260 ),Collins Injera ( 42 ),Ollie Phillips
2009-10,8,Ben Gollings ( 332 ),Mikaele Pesamino ( 56 ),Mikaele Pesamino
2010-11,8,Cecil Afrika ( 381 ),Cecil Afrika ( 40 ),Cecil Afrika
2011-12,9,Tomasi Cama Jr. ( 390 ),Matt Turner ( 38 ),Tomasi Cama Jr
2012-13,9,Dan Norton ( 264 ),Dan Norton ( 52 ),Tim Mikkelson
2013-14,9,Tom Mitchell ( 358 ),Samisoni Viriviri ( 52 ),Samisoni Viriviri
2014-15,9,Osea Kolinisau ( 312 ),Seabelo Senatla ( 47 ),Werner Kok
2015-16,10,Madison Hughes ( 331 ),Seabelo Senatla ( 66 ),Seabelo Senatla
2016-17,10,Perry Baker ( 285 ),Perry Baker ( 57 ),Perry Baker
2017-18,10,Nathan Hirayama ( 334 ),Carlin Isles ( 49 ),Perry Baker
2018-19,10,Andrew Knewstubb ( 307 ),Carlin Isles ( 52 ),Jerry Tuwai
