Elector,Nationality,Cardinalatial Title,Elevated,Elevator,Notes
Bessarion,Greek,Bishop of Frascati ; commendatario of SS . XII Apostoli,"1439 , December 18",Pope Eugenius IV,"Dean of the Sacred College of Cardinals ; Latin Patriarch of Constantinople ; Cardinal-protector of the Orders of Basilians , Franciscans and Dominicans"
"Guillaume d'Estouteville , O.S.B.Cluny",French,Bishop of Ostia e Velletri,"1439 , December 18",Pope Eugenius IV,Archbishop of Rouen and administrator of Saint-Jean-de-Maurienne ; Archpriest of the patriarchal Liberian Basilica ; Cardinal-protector of the Order of Augustinians
"Juan de Torquemada , O.P",Castilian,Bishop of Sabina,"1439 , December 18",Pope Eugenius IV,Bishop of Ourense
Juan Carvajal,Castilian,Bishop of Porto e Santa Rufina ; commendatario of S. Lucia in Septisolio,"1446 , December 16",Pope Eugenius IV,Bishop of Plasencia ; Cardinal-protector of Hungary
Ludovico Trevisan,Venetian,Priest of S. Lorenzo in Damaso,"1440 , July 1",Pope Eugenius IV,Camerlengo of the Holy Roman Church ; Patriarch of Aquileia ; bishop of Cava
Pietro Barbo ( elected Pope Paul II ),Venetian,Priest of S. Marco,"1440 , July 1",Pope Eugenius IV ( Cardinal-nephew ),Bishop of Vicenza ; Archpriest of the patriarchal Vatican Basilica
Latino Orsini,Roman,Priest of SS . Giovanni e Paolo,"1448 , December 20",Pope Nicholas V,Administrator of Bari ; Archpriest of the patriarchal Lateran Basilica
Alain de Coëtivy,French,Priest of S. Prassede,"1448 , December 20",Pope Nicholas V,Bishop of Avignon and administrator of Dol
Filippo Calandrini,Bolognese,Priest of S. Lorenzo in Lucina,"1448 , December 20",Pope Nicholas V ( Cardinal-nephew ),Grand penitentiary ; Bishop of Bologna
Juan de Mella,Castilian,Priest of S. Prisca,"1456 , December 17",Pope Callixtus III,Bishop of Zamora
Giacomo Tebaldi,Neapolitan,Priest of S. Anastasia,"1456 , December 17",Pope Callixtus III,
Richard Olivier de Longueil,French,Priest of S. Eusebio,"1456 , December 17",Pope Callixtus III,Bishop of Coutances
Angelo Capranica,Roman,Priest of S. Croce in Gerusalemme,"1460 , March 5",Pope Pius II,Bishop of Rieti
Bartolomeo Roverella,Ferrara,Priest of S. Clemente,"1461 , December 18",Pope Pius II,Archbishop of Ravenna ; Governor of Benevento
Louis d'Albret,French,Priest of SS . Marcellino e Pietro,"1461 , December 18",Pope Pius II,Bishop of Cahors
Giacomo Ammanati-Piccolomini,Siena,Priest of S. Crisogono,"1461 , December 18",Pope Pius II ( Cardinal-nephew ),Bishop of Pavia ; Camerlengo of the Sacred College of Cardinals
Rodrigo Borgia,Catalan,Deacon of S. Nicola in Carcere Tulliano ; commendatario of S. Maria in Via Lata,"1456 , September 17",Pope Callixtus III ( Cardinal-nephew ),Protodeacon of the Sacred College of Cardinals ; Vice-Chancellor of the Holy Roman Church ; Administrator of Valencia
Francesco Todeschini-Piccolomini,Siena,Deacon of S. Eustachio,"1460 , March 5",Pope Pius II ( Cardinal-nephew ),Administrator of Siena ; Legate in Rome and the Papal States
Francesco Gonzaga,Mantua,Deacon of S. Maria Nuova,"1461 , December 18",Pope Pius II,Bishop of Brixen
