Order,Contestant,Song ( original artist ),Result
1,Lakisha Jones,Last Dance ( Donna Summer ),Safe
2,Chris Sligh,Every Little Thing She Does Is Magic ( The Police ),Eliminated
3,Gina Glocksen,I 'll Stand by You ( The Pretenders ),Safe
4,Sanjaya Malakar,Bathwater,Safe
5,Haley Scarnato,True Colors ( Cyndi Lauper ),Bottom 2
6,Phil Stacey,Every Breath You Take ( The Police ),Bottom 3
7,Melinda Doolittle,Heaven Knows ( Donna Summer ),Safe
8,Blake Lewis,Lovesong ( The Cure ),Safe
9,Jordin Sparks,Hey Baby,Safe
10,Chris Richardson,Do n't Speak,Safe
