Year,Performing artist ( s ),Nationality,Work,Nominees
2000,Shakira,Colombia,Ojos Así,Christina Aguilera - Genio Atrapado Zizi Possi - Meu Erro Mercedes Sosa - Al Despertar Jaci Velasquez - Llegar A Ti
2001,Christina Aguilera,United States,Mi Reflejo,Natalia Oreiro - Tu Veneno Laura Pausini - Entre Tú y Mil Mares Paulina Rubio - Paulina Thalía - Arrasando
2002,Rosario Flores,Spain,Muchas Flores,Ana Belén - Peces de Ciudad Cecilia Echenique - Secreta Intimidad Mónica Molina - Vuela Nicole - Viaje Infinito
2003,Olga Tañón,Puerto Rico,Sobrevivir,"Gisselle - En Alma , Cuerpo y Corazón Ednita Nazario - Acústico Thalía - Thalía Ana Torroja - Frágil"
2004,Rosario Flores,Spain,De Mil Colores,Rocío Dúrcal - Caramelito Ednita Nazario - Por Tí Paulina Rubio - Pau-Latina Jaci Velasquez - Milagro
2005,Laura Pausini,Italy,Escucha,Bebe - Pafuera Telarañas Andrea Echeverri - Andrea Echeverri Fey - La Fuerza del Destino Soraya - El Otro Lado de Mi
2006,Shakira,Colombia,Fijación Oral Vol . 1,Anaís - Así Soy Yo Rosario Flores - Contigo Me Voy Ines Gaviria - A Mi Manera Niña Pastori - Joyas Prestadas Thalía - El Sexto Sentido ( Re+Loaded )
2007,Laura Pausini,Italy,Yo Canto,Ana Belén - Anatomía Belinda - Utopía Shaila Dúrcal - Recordando ... Ilona - Allá en el Sur
2008,Kany García,Puerto Rico,Cualquier Día,Ana Gabriel - Arpegios de Amor : Requiem por Tres almas Alejandra Guzmán - Fuerza Rosario Flores - Parte de Mí Ednita Nazario - Real
2009,Laura Pausini,Italy,Primavera Anticipada,Jimena Ángel - Día Azul Natalia Lafourcade - Hu Hu Hu Amaia Montero - Amaia Montero Luz Ríos - Aire
2010,Nelly Furtado,Canada,Mi Plan,Bebe - Y. Estrella - Black Flamenco Rosario Flores - Cuéntame Kany García - Boleto de Entrada
2011,Shakira,Colombia,Sale el Sol,Claudia Brant - Manuscrito Myriam Hernández - Seducción Malú - Guerra Fría Merche - Acordes de Mi Diario
