Team,# Appearances,Years ( Won in Bold ),# Wins,# Runner-up,Most recent final
Club Brugge,18,"1980 , 1986 , 1988 , 1990 , 1991 , 1992 , 1994 , 1995 , 1996 , 1998 , 2002 , 2003 , 2004 , 2005 , 2007 , 2015 , 2016 , 2018",15,3,"2018 , beat Standard Liège 2-1"
Anderlecht,20,"1981 , 1985 , 1986 , 1987 , 1988 , 1989 , 1991 , 1993 , 1994 , 1995 , 2000 , 2001 , 2004 , 2006 , 2007 , 2008 , 2010 , 2012 , 2013 , 2014 , 2017",13,7,"2017 , beat Zulte Waregem 2-1"
Standard Liège,9,"1981 , 1982 , 1983 , 1993 , 2008 , 2009 , 2011 , 2016 , 2018",4,5,"2018 , lost to Club Brugge 2-1"
Beveren,4,"1979 , 1980 , 1983 , 1984",2,2,"1984 , beat Gent 5-1"
Lierse,2,"1997 , 1999",2,0,"1999 , beat Genk 3-1"
Genk,8,"1998 , 1999 , 2000 , 2002 , 2009 , 2011 , 2013 , 2019",2,6,"2019 , beat Mechelen 3-0"
Gent,3,"1984 , 2010 , 2015",1,2,"2015 , beat Club Brugge 1-0"
Waregem,1,1982,1,0,"1982 , beat Standard 3-2"
Cercle Brugge,2,"1985 , 1996",0,2,"1996 , lost to Club Brugge 5-1"
Lokeren,2,"2012 , 2014",0,2,"2014 , lost to Anderlecht 2-1"
Zulte Waregem,2,"2006 , 2017",0,2,"2017 , lost to Anderlecht 2-1"
Beerschot AC,2,"1997 ( as Germinal Ekeren ) , 2005 ( as Germinal Beerschot )",0,2,"2005 , lost to Club Brugge 1-1 ( 4-2 pen . )"
KV Mechelen,2,"1987 , 1989 , 2019",0,2,"2019 , lost to Genk 3-0"
Antwerp,1,1992,0,1,"1992 , lost to Club Brugge 1-1 ( 4-1 pen . )"
Westerlo,1,2001,0,1,"2001 , lost to Anderlecht 4-1"
RFC Liège,1,1990,0,1,"1990 , lost to Club Brugge 2-2 ( 7-6 pen . )"
Beerschot VAC,1,1979,0,1,"1979 , lost to Beveren 1-1 ( 3-2 pen . )"
La Louvière,1,2003,0,1,"2003 , lost to Club Brugge 1-1 ( 5-4 pen . )"
