Original NFL team,Player,Pos,College,Conf
Chicago Bears,Mike Morgan,RB,Wisconsin,Big Ten
Dallas Cowboys,Dave Kraayeveld,DE,Milton,IBFC
Dallas Cowboys,Robert Steele,WR,North Alabama,Gulf South
Detroit Lions,Ken Callicutt,RB,Clemson,ACC
Green Bay Packers,Paul Coffman,TE,Kansas State,Big Eight
Green Bay Packers,Walt Landers,RB,Clark Atlanta,SIAC
Green Bay Packers,Paul Rudzinski,LB,Michigan State,Big Ten
Houston Oilers,Warren Moon,QB,Washington,Pac-8
Houston Oilers,Guido Merkens,QB / WR,Sam Houston State,Lone Star
Los Angeles Rams,Preston Dennard,WR,New Mexico,WAC
Los Angeles Rams,Dwayne O'Steen,CB,San Jose State,PCAA
Los Angeles Rams,Doug Smith,C / G,Bowling Green,MAC
Minnesota Vikings,Kevin Miller,WR,Louisville,Ind . ( D-I )
New England Patriots,Nick Lowery,K,Dartmouth,Ivy
New York Jets,Mark Iwanowski,TE,Penn,Ivy
Oakland Raiders,Booker Russell,RB,Texas State,Lone Star
Philadelphia Eagles,Ken Clarke,DT,Syracuse,Ind
Seattle Seahawks,Kerry Justin,CB,Oregon State,Pac-8
Washington Redskins,J.T . Smith,WR,North Texas,Ind
