Title,Director,Year,Starring,Notes
Sidewalk Stories,Charles Lane,1989,"Charles Lane , Nicole Alysia , Tom Alpern",Post-film Q & A included Lane
Grave of the Fireflies,Isao Takahata,1988,"Tsutomu Tatsumi , Ayano Shiraishi , Akemi Yamaguchi",Post-film Q & A was scheduled to include Richard J. Leskosky and Greg Dean Schmitz ( film critics )
American Movie,Chris Smith,1999,"Mark Borchardt , Mike Schank , Tom Schimmels","Post-film Q & A included Smith , Sarah Price ( producer ) , and Borchardt"
Coven ( short ),Mark Borchardt,2000,"Mark Borchardt , Tom Schimmels , Miriam Frost",Post-film Q & A included Borchardt
Legacy,Tod Lending,2000,"Alaissa Collins , Marquis Collins , Nickcole Collins",Post-film Q & A was scheduled to include Lending and Nickcole Collins ( film subject )
The Terrorist,Santosh Sivan,1998,"Ayesha Dharker , K. Krishna , Sonu Sisupal",Post-film Q & A included Dharker and Mark Burton ( executive producer )
The Castle,Rob Sitch,1997,"Michael Caton , Anne Tenney , Stephen Curry",Post-film Q & A included Sitch and Michael Hirsh ( producer )
A Woman 's Tale,Paul Cox,1991,"Sheila Florance , Gosia Dobrowolska , Norman Kaye",Post-film Q & A was scheduled to include Cox
Children of Heaven,Majid Majidi,1997,"Amir Farrokh Hashemian , Bahare Seddiqi",Post-film Q & A was scheduled to include Godfrey Cheshire III ( film critic )
The Last Laugh,F. W. Murnau,1924,"Emil Jannings , Maly Delschaft , Max Hiller",Concrete Orchestra played live accompaniment . Post-film Q & A was scheduled to include Edwin Jahiel ( film critic )
Un Chien Andalou,Luis Buñuel,1929,"Pierre Batcheff , Simone Mareuil , Luis Buñuel , Salvador Dalí",Concrete Orchestra played live accompaniment . Post-film Q & A was scheduled to include Edwin Jahiel ( film critic )
Déjà vu,Henry Jaglom,1997,"Stephen Dillane , Victoria Foyt , Vanessa Redgrave",Post-film Q & A was scheduled to include Jaglom and Foyt
Dark City,Alex Proyas,1998,"Rufus Sewell , Kiefer Sutherland , Jennifer Connelly",Post-film Q & A was scheduled to include Proyas ( via telephone )
Oklahoma !,Fred Zinnemann,1955,"Gordon MacRae , Shirley Jones , Gloria Grahame",Post-film Q & A was scheduled to include Tim Zinnemann ( son of film director )
