,Name,Location,Area ( km )
1,New Caledonia 's mainland ( Grande-Terre ),New Caledonia,"16,372"
2,Corsica,Mediterranean Sea,"8,680"
3,Grande-Terre,Kerguelen Islands,"6,675"
4,Réunion,Réunion,"2,512"
5,Lifou,New Caledonia,"1,146"
6,Martinique,Martinique,"1,128"
7,Tahiti,French Polynesia,"1,036"
8,Basse-Terre,Guadeloupe,848
9,Maré,New Caledonia,657
10,Grande-Terre,Guadeloupe,586
11,Mayotte 's mainland ( Grande-Terre ),Mayotte,363
12,Nuku Hiva,French Polynesia,345
13,Hiva Oa,French Polynesia,318
14,Miquelon,Saint-Pierre-et-Miquelon,214
15,Île Foch,Kerguelen Islands,206
16,Oléron,Atlantic Ocean,190
17,Raiatea,French Polynesia,173
18,Marie-Galante,Guadeloupe,158
19,Île de la Possession,Crozet Islands,153
20,Île des Pins,New Caledonia,141
