Rank,Name,Nation,SP,FS,TFP
1,Ilia Kulik,Russia,1,1,1.5
2,Elvis Stojko,Canada,2,3,4.0
3,Philippe Candeloro,France,5,2,4.5
4,Todd Eldredge,United States,3,4,5.5
5,Alexei Yagudin,Russia,4,5,7.0
6,Steven Cousins,Great Britain,6,7,10.0
7,Michael Weiss,United States,11,6,11.5
8,Guo Zhengxin,China,10,9,14.0
9,Michael Tyllesen,Denmark,9,11,15.5
10,Viacheslav Zagorodniuk,Ukraine,16,8,16.0
11,Ivan Dinev,Bulgaria,7,14,17.5
12,Jeff Langdon,Canada,17,10,18.5
13,Szabolcs Vidrai,Hungary,12,16,19.0
14,Dmitri Dmitrenko,Ukraine,8,16,20.0
15,Takeshi Honda,Japan,18,12,21.0
16,Igor Pashkevich,Azerbaijan,13,15,21.5
17,Yamato Tamura,Japan,15,17,24.5
18,Michael Shmerkin,Israel,14,18,25.0
19,Roman Skorniakov,Uzbekistan,20,19,29.0
20,Margus Hernits,Estonia,19,20,29.5
