Location,Call sign,Frequency,Owner
"Parker , Arizona",KPKR,95.7 FM,Arizona 's Hometown Radio Group
"Paragould , Arkansas",KDRS-FM,107.1 FM,Mor Media
"Los Angeles , California",KCBS-FM,93.1 FM,Entercom
"Susanville , California",KAJK,96.3 FM,Huth Broadcasting
"Vero Beach , Florida",WJKD,99.7 FM,Vero Beach Broadcasters
"Decatur , Illinois",WEJT,105.1 FM,The Cromwell Group
"Ottawa , Illinois",WRKX,95.3 FM,NRG Media
"Vincennes , Indiana",WFML,96.7 FM,The Vincennes University Foundation
"Davenport , Iowa",KQCJ,93.9 FM,Regional Media radio ( Virden Broadcasting )
"Burlingame , Kansas",KSAJ-FM,98.5 FM,Alpha Media
"Baltimore , Maryland",WQSR,102.7 FM,iHeartMedia
"Kalamazoo , Michigan",WZOX,96.5 FM,Midwest Communications
"Minneapolis-St. Paul , Minnesota",KZJK,104.1 FM,Entercom
"Redwood Falls , Minnesota",KLGR-FM,97.7 FM,Alpha Media
"Hazlehurst , Mississippi",WDXO,92.9 FM,Telesouth Communications
"Columbia / Boonville , Missouri",KWJK,93.1 FM/103.5 FM,Billings Broadcasting
"Kansas City , Missouri",K273BZ,102.5 FM,Cumulus Media
"Missoula , Montana",KYJK,105.9 FM,Simmons Media Ventures
"Buffalo , New York",WBUF,92.9 FM,Townsquare Media
"Elko , Nevada",KLKO,93.7 FM,Elko Broadcasting
